Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
0.1,1.0790,320,0.0034,0.0030,0.0017,0.1959,0.0108,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.0,0.6660,5,0.1332,0.1308,0.1305,0.1423,0.0051,fast_argmax_bf16
0.0,0.5454,192,0.0028,0.0030,0.0025,0.0035,0.0003,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
0.0,0.5137,405,0.0013,0.0012,0.0011,0.0016,0.0001,const_set_f32
0.0,0.3875,240,0.0016,0.0016,0.0012,0.0026,0.0004,bmaximum_f32
0.0,0.3235,192,0.0017,0.0017,0.0016,0.0020,0.0001,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.0,0.2890,48,0.0060,0.0060,0.0059,0.0065,0.0002,void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_nn_align1>(T1::Params)
0.0,0.1869,120,0.0016,0.0014,0.0013,0.0024,0.0004,ulog_f32
0.0,0.1724,24,0.0072,0.0072,0.0069,0.0079,0.0002,void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_128x64_nn_align1>(T1::Params)
0.0,0.1208,24,0.0050,0.0050,0.0050,0.0053,0.0001,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params)
0.0,0.0678,40,0.0017,0.0015,0.0014,0.0027,0.0005,ucos_f32
0.0,0.0648,40,0.0016,0.0014,0.0014,0.0023,0.0003,usin_f32

