NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
kiln/attn/full/prefill,PushPop,17413,17413,8,8,201952,25244.0,25376.0,24064,26080,652.5,bmul_bf16
kiln/attn/full/prefill,PushPop,17413,17413,8,8,200320,25040.0,24752.0,24385,25888,663.7,urecip_bf16
kiln/attn/full/prefill,PushPop,17413,17413,8,8,176800,22100.0,21840.0,21568,22784,539.3,uexp_bf16
kiln/attn/full/prefill,PushPop,17413,17413,8,8,171361,21420.1,21200.5,20768,22080,489.1,affine_bf16
kiln/attn/full/prefill,PushPop,17413,17413,8,8,170753,21344.1,21184.0,20800,22080,456.9,uneg_bf16
kiln/attn/gdn/chunk,PushPop,17413,17413,192,192,9236167,48105.0,48064.0,40896,51744,2744.1,"<unnamed>::gdn_fwd_sub_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
kiln/attn/gdn/recurrent,PushPop,17413,17413,1536,1536,23442994,15262.4,15264.0,14720,15392,58.9,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
kiln/kv/copy,PushPop,17413,17413,520,9120,12183022,1335.9,1312.0,1248,1632,45.7,copy2d_bf16
kiln/kv/copy,PushPop,17413,17413,8,16,203456,12716.0,12416.0,12320,13312,448.6,ucopy_bf16
kiln/lm_head,PushPop,17413,17413,64,64,115533287,1805207.6,1805095.5,1803304,1807528,844.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
kiln/lm_head,PushPop,17413,17413,1,1,4337618,4337618.0,4337618.0,4337618,4337618,0.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
kiln/lm_head,PushPop,17413,17413,65,65,395108,6078.6,5633.0,5472,33952,3512.3,fast_sum_f32
kiln/lm_head,PushPop,17413,17413,65,130,373440,2872.6,3232.5,1375,38561,4386.4,bmul_f32
kiln/lm_head,PushPop,17413,17413,65,130,205350,1579.6,1504.0,1407,14208,1118.2,cast_bf16_f32
kiln/lm_head,PushPop,17413,17413,65,130,177348,1364.2,1344.0,1216,1760,134.8,affine_f32
kiln/lm_head,PushPop,17413,17413,65,65,110303,1697.0,1696.0,1568,1728,25.3,badd_f32
kiln/lm_head,PushPop,17413,17413,65,65,107492,1653.7,1408.0,1376,17408,1984.6,usqr_f32
kiln/lm_head,PushPop,17413,17413,65,65,100963,1553.3,1344.0,1312,15200,1719.1,cast_f32_bf16
kiln/lm_head,PushPop,17413,17413,65,65,96353,1482.4,1472.0,1471,1536,16.2,urecip_f32
kiln/lm_head,PushPop,17413,17413,65,65,91580,1408.9,1408.0,1375,1440,17.9,usqrt_f32
kiln/lm_head,PushPop,17413,17413,65,65,79103,1217.0,1216.0,1184,1536,42.3,const_set_f32
kiln/mlp/down,PushPop,17413,17413,2048,2048,149747619,73119.0,71616.0,71136,78080,2117.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
kiln/mlp/down,PushPop,17413,17413,32,32,5349044,167157.6,164736.5,162657,174080,4388.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
kiln/mlp/gate,PushPop,17413,17413,2048,2048,161933582,79069.1,77184.5,75521,82944,2794.7,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
kiln/mlp/gate,PushPop,17413,17413,32,32,6095158,190473.7,187281.0,185665,199425,5617.2,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
kiln/mlp/gate,PushPop,17413,17413,2048,2048,5849333,2856.1,2848.0,2720,3104,58.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
kiln/mlp/up,PushPop,17413,17413,2048,2048,160080333,78164.2,76193.0,74912,82720,2811.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
kiln/mlp/up,PushPop,17413,17413,32,32,6082329,190072.8,187089.0,185089,199329,5715.3,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
kiln/mlp/up,PushPop,17413,17413,2048,2048,5670056,2768.6,2752.0,2656,2944,43.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,12692374,6102.1,5664.0,5472,36832,3620.5,fast_sum_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,4160,11966966,2876.7,3168.5,1375,40864,4452.3,bmul_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,4160,6553280,1575.3,1503.0,1280,15136,1129.7,cast_bf16_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,4160,5685360,1366.7,1344.0,1215,1888,139.1,affine_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,3523694,1694.1,1696.0,1504,1824,19.7,badd_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,3468436,1667.5,1408.0,1375,18528,2039.6,usqr_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,3226441,1551.2,1344.0,1311,16256,1746.4,cast_f32_bf16
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,3052453,1467.5,1472.0,1311,1600,36.5,urecip_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,2929654,1408.5,1408.0,1280,1536,30.7,usqrt_f32
kiln/norm/pre_attn,PushPop,17413,17413,2080,2080,2542270,1222.2,1216.0,1183,1600,40.9,const_set_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,12620554,6067.6,5600.0,5472,36896,3639.2,fast_sum_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,4160,11668700,2805.0,3008.0,1375,41024,4449.9,bmul_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,4160,6614510,1590.0,1504.0,1343,15456,1174.5,cast_bf16_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,4160,5509612,1324.4,1248.0,1184,1887,111.1,affine_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,3521285,1692.9,1696.0,1600,1825,20.3,badd_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,3427093,1647.6,1376.0,1343,18752,2092.5,usqr_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,3155857,1517.2,1280.0,1247,16224,1777.9,cast_f32_bf16
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,2886536,1387.8,1376.0,1247,1600,59.4,urecip_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,2885743,1387.4,1376.0,1280,1568,39.5,usqrt_f32
kiln/norm/pre_mlp,PushPop,17413,17413,2080,2080,2543437,1222.8,1216.0,1183,1600,41.5,const_set_f32
kiln/proj/o,PushPop,17413,17413,512,512,17862637,34888.0,34880.0,34592,35424,129.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
kiln/proj/o,PushPop,17413,17413,8,8,642884,80360.5,78816.5,78144,83649,2518.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
kiln/proj/qkv,PushPop,17413,17413,512,512,32208669,62907.6,62848.0,62624,68000,285.8,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
kiln/proj/qkv,PushPop,17413,17413,512,1024,10862534,10607.9,10593.0,10177,11360,169.8,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
kiln/proj/qkv,PushPop,17413,17413,512,1024,1588058,1550.8,1536.0,1375,1856,162.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
kiln/proj/qkv,PushPop,17413,17413,8,8,1515398,189424.8,186992.5,185377,198753,5570.1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
kiln/proj/qkv,PushPop,17413,17413,8,16,474497,29656.1,29184.0,28672,31552,1045.1,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_nn
kiln/residual,PushPop,17413,17413,4160,4160,8820707,2120.4,1920.0,1855,15776,1596.2,badd_bf16
