NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ms),Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Kernel Name
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,0.2292,0.0014,0.0014,0.0013,0.0017,0.0001,usqrt_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,0.2052,0.0013,0.0012,0.0012,0.0016,0.0001,const_set_f32
:kiln/proj/o,PushPop,18569,18569,40,40,12.0972,0.3024,0.2995,0.2954,0.3571,0.0124,ucopy_bf16
:kiln/proj/o,PushPop,18569,18569,8,8,5.0292,0.6286,0.6285,0.6262,0.6310,0.0016,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
:kiln/proj/o,PushPop,18569,18569,32,32,1.2462,0.0389,0.0389,0.0386,0.0401,0.0003,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/proj/qkv,PushPop,18569,18569,40,120,32.0608,0.2672,0.0843,0.0793,0.7246,0.2606,ucopy_bf16
:kiln/proj/qkv,PushPop,18569,18569,8,8,9.8542,1.2318,1.2319,1.2275,1.2351,0.0021,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
:kiln/proj/qkv,PushPop,18569,18569,8,16,3.2547,0.2034,0.2035,0.2016,0.2044,0.0006,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
:kiln/proj/qkv,PushPop,18569,18569,32,32,2.1549,0.0673,0.0673,0.0670,0.0681,0.0003,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
:kiln/proj/qkv,PushPop,18569,18569,32,64,0.5291,0.0083,0.0083,0.0078,0.0090,0.0002,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/proj/qkv,PushPop,18569,18569,32,64,0.1112,0.0017,0.0017,0.0017,0.0020,0.0001,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
:kiln/residual,PushPop,18569,18569,320,320,7.8633,0.0246,0.0021,0.0020,0.1167,0.0450,badd_bf16

