env_var,call_site_count,first_seen,via_env_flag_or_tristate,via_env_var,crates_touched
KILN_DISABLE_VULKAN_GDN_IN_PROJ_BATCH_ROW_OCTET,3,crates/kiln-vulkan-kernel/src/kernels.rs:410,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_GDN_IN_PROJ_BATCH_ROW_PAIR,3,crates/kiln-vulkan-kernel/src/kernels.rs:397,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_GDN_IN_PROJ_BATCH_ROW_QUAD,3,crates/kiln-vulkan-kernel/src/kernels.rs:403,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_LINEAR_BF16W_ROWS4,3,crates/kiln-vulkan-kernel/src/kernels.rs:101,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_LINEAR_BF16W_ROWS8,3,crates/kiln-vulkan-kernel/src/kernels.rs:109,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_LINEAR_DECODE_BF16W_ROWS4,3,crates/kiln-vulkan-kernel/src/kernels.rs:100,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_LINEAR_DECODE_BF16W_ROWS8,3,crates/kiln-vulkan-kernel/src/kernels.rs:108,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_MLP_BF16_DOWN_ROWS4,3,crates/kiln-vulkan-kernel/src/kernels.rs:45,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_MLP_BF16_GATE_UP_ROWS4,3,crates/kiln-vulkan-kernel/src/kernels.rs:35,no,yes,kiln-model;kiln-vulkan-kernel
KILN_ENABLE_VULKAN_GDN_IN_PROJ_BATCH_ROW_OCTET,3,crates/kiln-vulkan-kernel/src/kernels.rs:409,no,no,kiln-model;kiln-vulkan-kernel
KILN_LOGGING_FORMAT,3,crates/kiln-server/src/config.rs:6757,no,no,kiln-server
KILN_LOGGING_LEVEL,3,crates/kiln-server/src/config.rs:6758,no,no,kiln-server
KILN_MAX_DECODE_BATCH,3,crates/kiln-server/src/config.rs:78,no,no,kiln-server
KILN_MEMORY_INFERENCE_MEMORY_FRACTION,3,crates/kiln-server/src/config.rs:6762,no,no,kiln-server
KILN_MEMORY_KV_AUTOSCALE,3,crates/kiln-server/src/config.rs:6763,no,no,kiln-server
KILN_MEMORY_KV_FORCE_BLOCKS,3,crates/kiln-server/src/config.rs:6765,no,no,kiln-server
KILN_METAL_DECODE_BATCH_GENERIC_FALLBACK,3,crates/kiln-model/src/generate.rs:11305,no,no,kiln-model
KILN_MODEL_SERVED_MODEL_ID,3,crates/kiln-server/src/config.rs:6774,no,no,kiln-server
KILN_NUM_BLOCKS,3,crates/kiln-server/src/config.rs:5510,no,no,kiln-server
KILN_REQUEST_LOG_ENABLED,3,crates/kiln-server/src/config.rs:5665,no,no,kiln-server
KILN_REQUEST_LOG_MAX_CAPTURE_BYTES,3,crates/kiln-server/src/config.rs:5681,no,no,kiln-server
KILN_REQUEST_LOG_MAX_FILE_BYTES,3,crates/kiln-server/src/config.rs:5670,no,no,kiln-server
KILN_REQUEST_LOG_MAX_TOTAL_BYTES,3,crates/kiln-server/src/config.rs:5675,no,no,kiln-server
KILN_ROCM_DECODE_BATCH_GENERIC_FALLBACK,3,crates/kiln-model/src/generate.rs:11307,no,no,kiln-model
KILN_ROCM_FLASH_DISABLE_CK_BWD_COLLAPSED_GQA,3,crates/kiln-flash-attn/tests/rocm_flash_attn_parity.rs:926,no,no,kiln-flash-attn
KILN_ROCM_FLASH_NATIVE_STREAMING,3,crates/kiln-flash-attn/src/rocm_sdpa.rs:710,no,no,kiln-flash-attn
KILN_SERVER_DEFAULT_THINKING_BUDGET_MS,3,crates/kiln-server/src/config.rs:6790,no,no,kiln-server
KILN_SERVER_MAX_DECODE_BATCH,3,crates/kiln-server/src/config.rs:6799,no,no,kiln-server
KILN_TEST_FLAG_FALSY,3,crates/kiln-core/src/env_flag.rs:110,yes,no,kiln-core
KILN_TEST_FLAG_TRUTHY,3,crates/kiln-core/src/env_flag.rs:85,yes,no,kiln-core
KILN_TOKENIZER_PATH,3,crates/kiln-server/src/config.rs:5504,no,no,kiln-server
KILN_VK_GDN_STATE_EXIT_BWD_CPU,3,crates/kiln-vulkan-kernel/src/vk_ops/gdn_chunk_bwd.rs:277,no,yes,kiln-vulkan-kernel
KILN_VULKAN_FULL_ATTN_QKV_BF16_ROWS4_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:160,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_GDN_CHUNKWISE_FALLBACK,3,crates/kiln-vulkan-kernel/src/vk_ops/gdn_chunkwise.rs:1179,yes,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_GDN_IN_PROJ_ROWS4_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:138,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_GDN_IN_PROJ_ROWS8_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:149,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_LINEAR,3,crates/kiln-core/src/env_flag.rs:19,yes,no,kiln-core;kiln-model
KILN_VULKAN_LINEAR_BF16_ROWS4_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:127,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_LINEAR_BF16_ROWS8_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:116,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_MLP_BF16_DOWN_ROWS4_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:78,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_MLP_BF16_GATE_UP_ROWS4_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:67,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_MLP_BF16_ROWS8_MIN_BATCH,3,crates/kiln-vulkan-kernel/src/kernels.rs:56,no,yes,kiln-model;kiln-vulkan-kernel
KILN_VULKAN_RMSNORM,3,crates/kiln-core/src/env_flag.rs:22,yes,no,kiln-core;kiln-model
KILN_VULKAN_SDPA,3,crates/kiln-model/src/backend/capability.rs:2042,yes,no,kiln-model
KILN_VULKAN_VALIDATION,3,crates/kiln-vulkan-kernel/src/device.rs:909,no,yes,kiln-vulkan-kernel
KILN_ACCELERATOR_FULL_ATTENTION_SCORE_BUDGET_MIB,2,crates/kiln-server/src/config.rs:6731,no,no,kiln-server
KILN_ACCELERATOR_KT_API_MODE,2,crates/kiln-server/src/config.rs:6732,no,no,kiln-server
KILN_ADAPTER_DIR,2,crates/kiln-server/src/config.rs:5505,no,no,kiln-server
KILN_ADAPTER_LIBRARY_URL,2,crates/kiln-server/src/config.rs:5664,no,no,kiln-server
KILN_AGENT_MAX_CONCURRENT_RUNS,2,crates/kiln-server/src/config.rs:6743,no,no,kiln-server
KILN_AGENT_RUNS,2,crates/kiln-server/src/config.rs:5689,no,no,kiln-server
