nvtx_range_name,call_site_count,first_seen
kiln/gdn/out_proj,1,crates/kiln-model/src/forward.rs:14934
kiln/gdn/post_transpose,1,crates/kiln-model/src/forward.rs:14779
kiln/gdn/qk_norm_deferred,1,crates/kiln-model/src/forward.rs:14042
kiln/gdn/qk_norm_deferred_native,1,crates/kiln-model/src/forward.rs:14045
kiln/gdn/qk_norm_gates_recur,1,crates/kiln-model/src/forward.rs:14248
kiln/gdn/qk_norm_gates_recur_gated_norm,1,crates/kiln-model/src/forward.rs:14221
kiln/gdn/qkv_conv_norm,1,crates/kiln-model/src/forward.rs:13380
kiln/gdn/qkv_conv_split,1,crates/kiln-model/src/forward.rs:13424
kiln/gdn/qkv_split,1,crates/kiln-model/src/forward.rs:13785
kiln/gdn/recur_prep,1,crates/kiln-model/src/forward.rs:14602
kiln/gdn/recurrent,1,crates/kiln-model/src/forward.rs:14401
kiln/gqa_sdpa_kt,1,crates/kiln-model/src/forward.rs:15762
kiln/kv/head_major_read_decode,1,crates/kiln-model/src/forward.rs:17344
kiln/l2_normalize_kt,1,crates/kiln-model/src/forward.rs:9687
kiln/lm_head_argmax,1,crates/kiln-model/src/forward.rs:24947
kiln/lm_head_argmax_eager,1,crates/kiln-model/src/forward.rs:23719
kiln/lm_head_argmax_kt,1,crates/kiln-model/src/forward.rs:9218
kiln/lm_head_batch_argmax_decode,1,crates/kiln-model/src/forward.rs:22075
kiln/lm_head_batch_argmax_decode_stable_buffers,1,crates/kiln-model/src/forward.rs:21092
kiln/lm_head_batch_decode,1,crates/kiln-model/src/forward.rs:21547
kiln/lm_head_eager,1,crates/kiln-model/src/forward.rs:23707
kiln/lm_head_eager_batched,1,crates/kiln-model/src/forward.rs:23897
kiln/lm_head_kt,1,crates/kiln-model/src/forward.rs:9017
kiln/lm_head_normalized_chunk,1,crates/kiln-model/src/forward.rs:22608
kiln/log_kt,1,crates/kiln-model/src/forward.rs:7622
kiln/lora_add_kt,1,crates/kiln-model/src/forward.rs:8827
kiln/lora_delta_kt,1,crates/kiln-model/src/forward.rs:8917
kiln/marlin_w4a16_gemm_kt,1,crates/kiln-model/src/marlin_proj.rs:323
kiln/matmul_kt,1,crates/kiln-model/src/forward.rs:4178
kiln/max_binary_kt,1,crates/kiln-model/src/forward.rs:7387
kiln/max_last_dim_kt,1,crates/kiln-model/src/forward.rs:1717
kiln/mean_last_dim_kt,1,crates/kiln-model/src/forward.rs:6561
kiln/mlp/gate_silu_hidden_mul,1,crates/kiln-model/src/forward.rs:8110
kiln/mlp/gate_up_fused,1,crates/kiln-model/src/forward.rs:1066
kiln/mlp/gate_up_fused_prefill,1,crates/kiln-model/src/forward.rs:8419
kiln/mlp/gate_up_swiglu_w8,1,crates/kiln-model/src/forward.rs:8289
kiln/mlp/gate_up_w8,1,crates/kiln-model/src/forward.rs:8304
kiln/mtp/fc,1,crates/kiln-model/src/forward.rs:24421
kiln/mtp/final_layernorm,1,crates/kiln-model/src/forward.rs:24475
kiln/mtp/lm_head,1,crates/kiln-model/src/forward.rs:24479
kiln/mtp/pre_fc_norm_emb,1,crates/kiln-model/src/forward.rs:24388
kiln/mtp/pre_fc_norm_hidden,1,crates/kiln-model/src/forward.rs:24392
kiln/mtp/step,1,crates/kiln-model/src/forward.rs:24376
kiln/neg_kt,1,crates/kiln-model/src/forward.rs:7267
kiln/norm/pre_attn_chunked,1,crates/kiln-model/src/forward.rs:20043
kiln/paged_kv_kt/block_size,1,crates/kiln-model/src/forward.rs:586
kiln/paged_kv_kt/is_fp8,1,crates/kiln-model/src/forward.rs:622
kiln/paged_kv_kt/num_layers,1,crates/kiln-model/src/forward.rs:697
kiln/paged_kv_kt/pool_tensors_present,1,crates/kiln-model/src/forward.rs:662
kiln/paged_kv_kt/read,1,crates/kiln-model/src/forward.rs:726
kiln/proj/o_batch_decode,1,crates/kiln-model/src/forward.rs:18566
kiln/proj/qkv_batch_decode,1,crates/kiln-model/src/forward.rs:18199
kiln/proj/qkv_split,1,crates/kiln-model/src/forward.rs:18852
kiln/recip_kt,1,crates/kiln-model/src/forward.rs:7580
kiln/rsqrt_kt,1,crates/kiln-model/src/forward.rs:7345
kiln/sampling_argmax_rows_kt,1,crates/kiln-model/src/forward.rs:9333
kiln/sampling_penalties_kt,1,crates/kiln-model/src/sampling.rs:445
kiln/sampling_softmax_kt,1,crates/kiln-model/src/sampling.rs:861
kiln/sampling_topk_kt,1,crates/kiln-model/src/sampling.rs:901
kiln/sigmoid_composite_kt,1,crates/kiln-model/src/forward.rs:224
kiln/silu_composite_kt,1,crates/kiln-model/src/forward.rs:870
kiln/sin_kt,1,crates/kiln-model/src/forward.rs:7469
kiln/softmax_kt,1,crates/kiln-model/src/forward.rs:1742
kiln/sqrt_kt,1,crates/kiln-model/src/forward.rs:7301
kiln/sum_axis_kt,1,crates/kiln-model/src/forward.rs:1684
kiln/sum_last_dim_kt,1,crates/kiln-model/src/forward.rs:1639
kiln/sum_sq_last_dim_kt,1,crates/kiln-model/src/forward.rs:9664
kiln/swiglu_ffn_kt,1,crates/kiln-model/src/forward.rs:8206
kiln/to_dtype_kt,1,crates/kiln-model/src/forward.rs:7668
